InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C547097,ST85470,RECIPE BOX WITH METAL HEART,1,02/28/2023 00:00,51.15,10987,Germany
C562360,ST41830,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,07/12/2023 00:00,45.83,10694,United Kingdom
C556129,ST55508,AIRLINE BAG VINTAGE JET SET,92,12/23/2023 00:00,43.23,10105,Spain
C579718,ST65057,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,11,08/08/2023 00:00,19.33,10546,United Kingdom
C543281,ST67080,PARTY BUNTING,78,09/08/2023 00:00,39.15,10843,United Kingdom
C578993,ST70931,HOME BUILDING BLOCK WORD,9,09/25/2023 00:00,42.8,10181,Germany
C553954,ST69087,CHOCOLATE HOT WATER BOTTLE,31,10/31/2023 00:00,15.95,10447,Germany
C573710,ST52600,SAVE THE WHALE COTTON BAG,6,08/26/2023 00:00,2.4,10250,United Kingdom
C550266,ST88139,BLUE CHERRY LIGHTS,6,09/07/2023 00:00,15.99,10187,Germany
C572789,ST63271,WHITE HANGING HEART T-LIGHT HOLDER,4,05/22/2023 00:00,5.49,10719,United Kingdom
C552114,ST12260,LUNCH BAG SUKI DESIGN,8,10/12/2023 00:00,25.12,10501,United Kingdom
C550887,ST58368,SMALL POPCORN HOLDER,5,05/31/2023 00:00,36.8,10096,United Kingdom
C571159,ST56112,BLUE CHERRY LIGHTS,12,10/11/2023 00:00,30.65,10485,United Kingdom
C554119,ST51359,RECIPE BOX WITH METAL HEART,2,08/21/2023 00:00,39.91,10720,United Kingdom
C548498,ST87278,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,10/02/2023 00:00,15.82,10123,United Kingdom
C575476,ST57301,LOVE BUILDING BLOCK WORD,44,09/26/2023 00:00,16.89,10779,United Kingdom
C537292,ST82529,GLASS HANGING T-LIGHT HOLDER,1,06/04/2023 00:00,53.61,10184,United Kingdom
C544640,ST11607,PACK OF 72 RETROSPOT CAKE CASES,82,12/24/2023 00:00,6.41,10300,United Kingdom
C567127,ST43092,LUNCH BAG SUKI DESIGN,3,05/26/2023 00:00,53.13,10588,Netherlands
C543841,ST99974,RED WOOLLY HOTTIE WHITE HEART,2,09/02/2023 00:00,32.1,10964,United Kingdom
C546142,ST25525,SKULL SHOULDER BAG,30,03/19/2023 00:00,54.67,10055,United Kingdom
C576100,ST59856,AIRLINE BAG VINTAGE JET SET,4,08/02/2023 00:00,42.85,10572,Germany
C555852,ST17894,AIRLINE BAG VINTAGE WORLD CHAMPION,59,08/15/2023 00:00,31.64,10462,United Kingdom
C549982,ST41439,PACK OF 72 RETROSPOT CAKE CASES,11,02/20/2023 00:00,5.25,10625,United Kingdom
C541284,ST71592,POPPY'S PLAYHOUSE KITCHEN,8,10/10/2023 00:00,38.18,10178,United Kingdom
C551535,ST19329,LOVE BUILDING BLOCK WORD,12,01/17/2023 00:00,47.4,10299,United Kingdom
C553702,ST81376,PACK OF 72 RETROSPOT CAKE CASES,4,04/30/2023 00:00,23.87,10704,Belgium
C546129,ST50319,HOME BUILDING BLOCK WORD,29,11/28/2023 00:00,4.08,10231,France
C555279,ST62757,LUNCH BAG RED RETROSPOT,12,10/19/2023 00:00,17.32,10610,United Kingdom
C569163,ST66626,GLASS HANGING T-LIGHT HOLDER,2,05/20/2023 00:00,33.23,10966,Spain
C575929,ST85392,BOX OF VINTAGE ALPHABET BLOCKS,4,06/15/2023 00:00,52.94,10753,France
C580423,ST95394,HOME BUILDING BLOCK WORD,3,01/11/2023 00:00,26.33,10602,United Kingdom
C548259,ST71605,AIRLINE BAG VINTAGE WORLD CHAMPION,8,05/23/2023 00:00,53.32,10453,Spain
C558208,ST74942,CHOCOLATE HOT WATER BOTTLE,3,07/29/2023 00:00,18.71,10357,United Kingdom
C562609,ST52372,VINTAGE PAISLEY STATIONERY SET,2,12/06/2023 00:00,17.88,10296,France
C570089,ST17104,WHITE HANGING HEART T-LIGHT HOLDER,9,07/26/2023 00:00,25.87,10119,Spain
C560074,ST16764,SAVE THE WHALE COTTON BAG,11,09/23/2023 00:00,24.79,10193,United Kingdom
C572358,ST73532,HAND WARMER RED POLKA DOT,76,05/17/2023 00:00,48.55,10209,United Kingdom
C577654,ST82199,AIRLINE BAG VINTAGE JET SET,12,01/15/2023 00:00,9.43,10125,United Kingdom
C563103,ST25396,SET 7 BABUSHKA NESTING BOXES,2,10/10/2023 00:00,25.84,10015,United Kingdom
C569026,ST73242,LOVE BUILDING BLOCK WORD,5,03/20/2023 00:00,23.35,10664,France
C566300,ST76616,VINTAGE PAISLEY STATIONERY SET,4,05/05/2023 00:00,50.77,10484,EIRE
C540940,ST76550,HOME BUILDING BLOCK WORD,7,03/11/2023 00:00,19.25,10765,United Kingdom
C554901,ST74178,RECIPE BOX WITH METAL HEART,94,01/02/2023 00:00,54.94,10274,United Kingdom
C565629,ST81228,GLASS HANGING T-LIGHT HOLDER,6,03/18/2023 00:00,30.74,10887,United Kingdom
C557453,ST40613,FELTCRAFT PRINCESS CHARLOTTE DOLL,50,08/22/2023 00:00,31.81,10387,United Kingdom
C539225,ST59968,CHOCOLATE HOT WATER BOTTLE,12,07/30/2023 00:00,50.31,10877,United Kingdom
C579095,ST87356,ASSORTED COLOUR BIRD ORNAMENT,1,12/06/2023 00:00,7.69,10396,United Kingdom
C565220,ST28894,GLASS STAR FROSTED T-LIGHT HOLDER,8,02/21/2023 00:00,1.68,10340,Switzerland
C546481,ST62098,RED WOOLLY HOTTIE WHITE HEART,5,12/02/2023 00:00,19.18,10420,United Kingdom
C557897,ST73956,GLASS HANGING T-LIGHT HOLDER,6,02/11/2023 00:00,34.79,10666,United Kingdom
C538717,ST47667,SAVE THE WHALE COTTON BAG,11,10/05/2023 00:00,37.91,10894,Germany
C564805,ST68153,GLASS STAR FROSTED T-LIGHT HOLDER,12,02/16/2023 00:00,48.1,10233,United Kingdom
C555990,ST59131,WHITE METAL LANTERN,1,12/22/2023 00:00,16.74,10171,Italy
C552368,ST32280,MASON JAR CANDLE HOLDER,11,03/16/2023 00:00,43.76,10442,Portugal
C576308,ST86435,WHITE BUTTERFLY T-LIGHT HOLDER,4,02/10/2023 00:00,27.8,10180,United Kingdom
C566586,ST70981,PACK OF 72 RETROSPOT CAKE CASES,5,04/29/2023 00:00,36.96,10147,United Kingdom
C580772,ST87014,GLASS HANGING T-LIGHT HOLDER,8,05/28/2023 00:00,52.03,10923,United Kingdom
C564172,ST60422,BOX OF VINTAGE ALPHABET BLOCKS,5,11/24/2023 00:00,11.64,10307,United Kingdom
C543354,ST48696,BOX OF VINTAGE JIGSAW BLOCKS,6,09/05/2023 00:00,31.98,10874,United Kingdom
C562304,ST16428,HOME BUILDING BLOCK WORD,11,12/04/2023 00:00,43.0,10023,United Kingdom
C568918,ST56179,LOVE BUILDING BLOCK WORD,4,11/07/2023 00:00,33.72,10933,United Kingdom
C548825,ST99241,SAVE THE WHALE COTTON BAG,12,11/22/2023 00:00,42.41,10225,United Kingdom
C577537,ST67779,GLASS STAR FROSTED T-LIGHT HOLDER,25,03/12/2023 00:00,17.58,10859,United Kingdom
C560276,ST64460,HAND WARMER RED POLKA DOT,5,10/24/2023 00:00,18.54,10035,Netherlands
C545026,ST45720,GLASS HANGING T-LIGHT HOLDER,66,04/13/2023 00:00,29.6,10180,United Kingdom
C553205,ST54396,LUNCH BAG SUKI DESIGN,57,03/26/2023 00:00,41.28,10851,United Kingdom
C567057,ST98395,RED WOOLLY HOTTIE WHITE HEART,4,02/28/2023 00:00,47.43,10824,United Kingdom
C560336,ST26199,SET 7 BABUSHKA NESTING BOXES,1,10/13/2023 00:00,15.17,10407,Norway
C580459,ST24201,BOX OF VINTAGE ALPHABET BLOCKS,11,07/08/2023 00:00,51.77,10466,United Kingdom
C567263,ST89964,WHITE METAL LANTERN,9,04/30/2023 00:00,18.61,10692,United Kingdom
C540507,ST25292,PACK OF 72 RETROSPOT CAKE CASES,58,11/28/2023 00:00,36.01,10227,Germany
C538803,ST80457,RECIPE BOX WITH METAL HEART,34,01/24/2023 00:00,6.11,10144,United Kingdom
C566094,ST80804,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,12,07/18/2023 00:00,38.56,10139,Germany
C546491,ST46666,LARGE POPCORN HOLDER,8,10/28/2023 00:00,34.19,10430,United Kingdom
C560648,ST23022,IVORY KNITTED MUG COZY,4,12/20/2023 00:00,47.17,10034,United Kingdom
C572047,ST26011,BLUE CHERRY LIGHTS,5,07/08/2023 00:00,11.13,10703,United Kingdom
C542372,ST16629,IVORY KNITTED MUG COZY,10,08/21/2023 00:00,53.43,10972,United Kingdom
C552327,ST82641,HAND WARMER RED POLKA DOT,4,06/20/2023 00:00,4.57,10806,United Kingdom
C550517,ST88116,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,10/28/2023 00:00,43.56,10213,EIRE
C545847,ST13379,HAND WARMER RED POLKA DOT,3,05/22/2023 00:00,6.8,10003,United Kingdom
C559842,ST16868,BOX OF VINTAGE JIGSAW BLOCKS,1,01/08/2023 00:00,10.29,10135,United Kingdom
C570842,ST57453,HAND WARMER UNION JACK,8,08/04/2023 00:00,25.12,10130,United Kingdom
C543511,ST96363,LUNCH BAG RED RETROSPOT,10,10/31/2023 00:00,3.2,10526,United Kingdom
C566383,ST65872,WHITE METAL LANTERN,8,06/04/2023 00:00,46.73,10534,United Kingdom
C568495,ST29442,LUNCH BAG RED RETROSPOT,2,02/25/2023 00:00,18.29,10703,United Kingdom
C554388,ST59925,SAVE THE WHALE COTTON BAG,9,03/06/2023 00:00,39.41,10068,United Kingdom
C555691,ST24996,LUNCH BAG PINK POLKADOT,7,09/29/2023 00:00,6.22,10612,United Kingdom
C579023,ST39949,VINTAGE PAISLEY STATIONERY SET,4,12/02/2023 00:00,24.14,10874,United Kingdom
C566085,ST50963,SMALL POPCORN HOLDER,2,06/23/2023 00:00,17.77,10424,United Kingdom
C560895,ST21188,ASSORTED COLOUR BIRD ORNAMENT,8,05/11/2023 00:00,4.49,10682,United Kingdom
C542693,ST83608,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,91,08/10/2023 00:00,4.1,10096,United Kingdom
C580274,ST65435,HAND WARMER UNION JACK,11,06/18/2023 00:00,51.81,10576,Belgium
C555215,ST37884,AIRLINE BAG VINTAGE JET SET,2,01/27/2023 00:00,32.14,10889,United Kingdom
C567965,ST58176,BOX OF 6 ASSORTED COLOUR TEASPOONS,64,12/03/2023 00:00,46.63,10159,United Kingdom
C573989,ST91490,BOX OF 6 ASSORTED COLOUR TEASPOONS,91,05/23/2023 00:00,53.62,10118,United Kingdom
C578484,ST45054,VINTAGE PAISLEY STATIONERY SET,11,12/12/2023 00:00,45.77,10629,Belgium
C554274,ST28776,RECIPE BOX WITH METAL HEART,64,04/03/2023 00:00,1.18,10030,Spain
C562630,ST22026,RED WOOLLY HOTTIE WHITE HEART,11,12/03/2023 00:00,53.47,10580,United Kingdom
C550463,ST50846,WHITE BUTTERFLY T-LIGHT HOLDER,6,09/29/2023 00:00,9.37,10765,United Kingdom
C573562,ST90981,AIRLINE BAG VINTAGE JET SET,1,06/16/2023 00:00,9.27,10739,France
C541711,ST67939,HOME BUILDING BLOCK WORD,7,12/12/2023 00:00,27.15,10051,United Kingdom
C550492,ST98895,SET OF 4 PANTRY JELLY MOULDS,7,05/20/2023 00:00,6.85,10425,United Kingdom
C568256,ST88554,MASON JAR CANDLE HOLDER,1,10/31/2023 00:00,12.79,10695,United Kingdom
C549762,ST47938,RECIPE BOX WITH METAL HEART,37,01/04/2023 00:00,42.23,10057,United Kingdom
C536871,ST79806,SET OF 3 CAKE TINS PANTRY DESIGN,3,03/03/2023 00:00,7.85,10336,Spain
C569150,ST15544,VINTAGE PAISLEY STATIONERY SET,65,04/28/2023 00:00,4.75,10721,Netherlands
C566495,ST63008,RED WOOLLY HOTTIE WHITE HEART,93,01/10/2023 00:00,24.1,10447,United Kingdom
C563738,ST32527,LOVE BUILDING BLOCK WORD,1,11/24/2023 00:00,53.17,10727,United Kingdom
C566517,ST87184,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,2,11/13/2023 00:00,14.03,10821,United Kingdom
C541519,ST32037,SMALL POPCORN HOLDER,63,09/26/2023 00:00,12.85,10411,Germany
C577864,ST55793,HAND WARMER UNION JACK,4,09/19/2023 00:00,49.91,10079,Spain
C546044,ST88957,BOX OF VINTAGE JIGSAW BLOCKS,5,11/27/2023 00:00,11.53,10360,Spain
C541303,ST83889,POPPY'S PLAYHOUSE BEDROOM,100,12/02/2023 00:00,27.61,10157,Germany
C565784,ST92210,SKULL SHOULDER BAG,10,10/24/2023 00:00,18.35,10779,United Kingdom
C565185,ST46002,RED WOOLLY HOTTIE WHITE HEART,11,03/19/2023 00:00,17.25,10324,United Kingdom
C559429,ST17456,SET OF 4 PANTRY JELLY MOULDS,8,01/29/2023 00:00,25.32,10606,United Kingdom
C541393,ST86064,SET 7 BABUSHKA NESTING BOXES,9,05/27/2023 00:00,21.67,10378,Spain
C565838,ST75715,SKULL SHOULDER BAG,6,01/22/2023 00:00,33.61,10568,United Kingdom
C565890,ST21053,GLASS STAR FROSTED T-LIGHT HOLDER,63,02/01/2023 00:00,54.05,10155,United Kingdom
C547673,ST78690,CREAM CUPID HEARTS COAT HANGER,8,11/27/2023 00:00,54.51,10517,United Kingdom
C546768,ST54350,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,5,11/09/2023 00:00,21.83,10536,United Kingdom
C539796,ST83133,PACK OF 72 RETROSPOT CAKE CASES,2,11/03/2023 00:00,18.7,10696,United Kingdom
C554986,ST88997,BOX OF VINTAGE ALPHABET BLOCKS,11,07/17/2023 00:00,53.07,10695,United Kingdom
C558212,ST50662,SET 7 BABUSHKA NESTING BOXES,3,03/18/2023 00:00,50.49,10895,United Kingdom
C579758,ST50577,SMALL POPCORN HOLDER,12,12/02/2023 00:00,51.64,10991,United Kingdom
C578536,ST97878,PINK CHERRY LIGHTS,87,07/12/2023 00:00,5.91,10573,United Kingdom
C560077,ST54791,WHITE METAL LANTERN,3,09/18/2023 00:00,52.36,10434,United Kingdom
C548948,ST23256,BOX OF 6 ASSORTED COLOUR TEASPOONS,39,09/06/2023 00:00,5.03,10971,Germany
C570871,ST59377,CREAM CUPID HEARTS COAT HANGER,10,10/04/2023 00:00,7.95,10520,United Kingdom
C548216,ST15726,SAVE THE WHALE COTTON BAG,41,03/25/2023 00:00,39.9,10158,United Kingdom
C580691,ST68841,BOX OF VINTAGE JIGSAW BLOCKS,98,07/06/2023 00:00,16.28,10421,Germany
C552039,ST35430,RECIPE BOX WITH METAL HEART,80,10/01/2023 00:00,49.8,10240,United Kingdom
C573748,ST75916,LUNCH BAG RED RETROSPOT,5,12/14/2023 00:00,42.99,10377,EIRE
C546985,ST16839,FELTCRAFT PRINCESS CHARLOTTE DOLL,37,08/03/2023 00:00,48.12,10541,United Kingdom
C560692,ST47363,VINTAGE PAISLEY STATIONERY SET,86,09/04/2023 00:00,46.94,10657,United Kingdom
C554242,ST22021,LUNCH BAG RED RETROSPOT,38,03/24/2023 00:00,45.85,10086,United Kingdom
C565930,ST75799,BLUE CHERRY LIGHTS,73,04/24/2023 00:00,3.73,10970,United Kingdom
C561672,ST22987,SET 7 BABUSHKA NESTING BOXES,1,05/01/2023 00:00,18.11,10383,United Kingdom
C558338,ST71925,ASSORTED COLOUR BIRD ORNAMENT,5,11/29/2023 00:00,50.53,10860,United Kingdom
C567108,ST38266,LUNCH BAG RED RETROSPOT,2,03/13/2023 00:00,1.88,10713,Italy
C572331,ST41147,AIRLINE BAG VINTAGE JET SET,2,03/18/2023 00:00,42.88,10856,United Kingdom
C539494,ST24530,BOX OF VINTAGE JIGSAW BLOCKS,10,03/04/2023 00:00,25.6,10309,Spain
C575472,ST28818,GLASS HANGING T-LIGHT HOLDER,9,09/13/2023 00:00,31.99,10857,United Kingdom
C536467,ST97080,SAVE THE WHALE COTTON BAG,10,08/08/2023 00:00,23.41,10299,France
C570672,ST76535,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,9,02/13/2023 00:00,30.31,10685,United Kingdom
C561953,ST43246,LUNCH BAG SUKI DESIGN,7,01/11/2023 00:00,53.97,10568,United Kingdom
C559767,ST23587,RED WOOLLY HOTTIE WHITE HEART,12,01/09/2023 00:00,36.43,10766,United Kingdom
C558156,ST94252,HAND WARMER RED POLKA DOT,9,10/25/2023 00:00,19.18,10791,United Kingdom
C566814,ST69988,LUNCH BAG SUKI DESIGN,3,12/17/2023 00:00,4.27,10180,Germany
C549576,ST50642,CREAM CUPID HEARTS COAT HANGER,1,05/31/2023 00:00,17.94,10038,United Kingdom
C571953,ST56789,LUNCH BAG SUKI DESIGN,11,07/23/2023 00:00,11.2,10528,United Kingdom
C579339,ST62431,PINK CHERRY LIGHTS,6,01/25/2023 00:00,24.51,10883,United Kingdom
C561704,ST58148,PINK CHERRY LIGHTS,83,08/14/2023 00:00,38.33,10762,United Kingdom
C553844,ST33652,SET 7 BABUSHKA NESTING BOXES,2,09/23/2023 00:00,24.17,10947,Switzerland
C557415,ST68447,GLASS STAR FROSTED T-LIGHT HOLDER,11,05/31/2023 00:00,16.86,10559,Switzerland
C547286,ST56210,LUNCH BAG RED RETROSPOT,1,08/07/2023 00:00,40.21,10618,Netherlands
C554358,ST93560,PACK OF 72 RETROSPOT CAKE CASES,27,08/11/2023 00:00,4.91,10630,United Kingdom
C569990,ST98878,POPPY'S PLAYHOUSE KITCHEN,38,07/06/2023 00:00,46.81,10416,United Kingdom
C538645,ST60181,HAND WARMER RED POLKA DOT,11,08/13/2023 00:00,20.69,10801,Belgium
C538487,ST58760,AIRLINE BAG VINTAGE JET SET,8,10/18/2023 00:00,52.23,10973,United Kingdom
C573977,ST46528,HAND WARMER RED POLKA DOT,7,02/09/2023 00:00,17.87,10455,Portugal
C538063,ST25435,POPPY'S PLAYHOUSE BEDROOM,7,02/28/2023 00:00,50.32,10256,Portugal
C565611,ST74382,IVORY KNITTED MUG COZY,56,05/14/2023 00:00,38.43,10269,EIRE
C545260,ST21506,RED WOOLLY HOTTIE WHITE HEART,12,03/04/2023 00:00,24.95,10205,United Kingdom
