InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,TotalAmount,Year,Month,Day,DayOfWeek
C543550,ST18326,ASSORTED COLOUR BIRD ORNAMENT,11,2023-01-25,23.71,10774,United Kingdom,260.81,260.81,2023,1,25,Wednesday
C575417,ST11504,LUNCH BAG PINK POLKADOT,9,2023-07-15,47.46,10395,United Kingdom,427.14,427.14,2023,7,15,Saturday
C581041,ST48469,GLASS HANGING T-LIGHT HOLDER,11,2023-02-28,19.27,10697,United Kingdom,211.97,211.97,2023,2,28,Tuesday
C566100,ST33416,WHITE HANGING HEART T-LIGHT HOLDER,53,2023-03-22,53.48,10446,United Kingdom,2834.44,2834.44,2023,3,22,Wednesday
C577344,ST30032,RECIPE BOX WITH METAL HEART,84,2023-02-24,33.83,10520,United Kingdom,2841.72,2841.72,2023,2,24,Friday
C571713,ST12552,MASON JAR CANDLE HOLDER,96,2023-03-24,18.4,10383,United Kingdom,1766.4,1766.3999999999999,2023,3,24,Friday
C556518,ST21226,BOX OF VINTAGE JIGSAW BLOCKS,10,2023-07-05,52.13,10115,United Kingdom,521.3000000000001,521.3000000000001,2023,7,5,Wednesday
C540900,ST82063,GLASS HANGING T-LIGHT HOLDER,3,2023-09-06,36.58,10750,United Kingdom,109.74,109.74,2023,9,6,Wednesday
C570946,ST36365,AIRLINE BAG VINTAGE JET SET,4,2023-05-16,51.15,10170,United Kingdom,204.6,204.6,2023,5,16,Tuesday
C562513,ST42493,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,9,2023-06-09,25.3,10731,United Kingdom,227.7,227.70000000000002,2023,6,9,Friday
C558521,ST10942,WHITE METAL LANTERN,4,2023-02-02,32.71,10231,France,130.84,130.84,2023,2,2,Thursday
C577724,ST19287,KNITTED UNION FLAG HOT WATER BOTTLE,1,2023-12-29,47.4,10073,United Kingdom,47.4,47.4,2023,12,29,Friday
C554615,ST84847,SET OF 3 CAKE TINS PANTRY DESIGN,3,2023-05-02,40.02,10527,United Kingdom,120.06,120.06,2023,5,2,Tuesday
C552290,ST96374,LUNCH BAG SUKI DESIGN,44,2023-08-31,5.96,10591,United Kingdom,262.24,262.24,2023,8,31,Thursday
C564124,ST95649,LARGE POPCORN HOLDER,12,2023-07-01,3.78,10442,United Kingdom,45.36,45.36,2023,7,1,Saturday
C540337,ST34931,SMALL POPCORN HOLDER,2,2023-02-20,14.31,10662,United Kingdom,28.62,28.62,2023,2,20,Monday
C545551,ST19880,PARTY BUNTING,8,2023-08-18,14.38,10550,United Kingdom,115.04,115.04,2023,8,18,Friday
C542781,ST22224,KNITTED UNION FLAG HOT WATER BOTTLE,9,2023-10-09,46.12,10454,United Kingdom,415.08,415.08,2023,10,9,Monday
C547264,ST17685,LARGE POPCORN HOLDER,4,2023-05-02,47.67,10949,Switzerland,190.68,190.68,2023,5,2,Tuesday
C536506,ST82845,WHITE BUTTERFLY T-LIGHT HOLDER,8,2023-07-14,16.3,10169,Portugal,130.4,130.4,2023,7,14,Friday
C546509,ST81066,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2023-09-07,32.21,10678,France,32.21,32.21,2023,9,7,Thursday
C540111,ST79615,KNITTED UNION FLAG HOT WATER BOTTLE,9,2023-06-10,50.63,10063,United Kingdom,455.67,455.67,2023,6,10,Saturday
C569646,ST98501,SET 7 BABUSHKA NESTING BOXES,28,2023-01-30,33.07,10162,United Kingdom,925.96,925.96,2023,1,30,Monday
C562826,ST87924,HAND WARMER UNION JACK,92,2023-05-01,14.18,10883,United Kingdom,1304.56,1304.56,2023,5,1,Monday
C541737,ST44179,LARGE POPCORN HOLDER,10,2023-11-14,29.16,10041,United Kingdom,291.6,291.6,2023,11,14,Tuesday
C556955,ST49321,BOX OF VINTAGE JIGSAW BLOCKS,3,2023-12-09,37.22,10210,United Kingdom,111.66,111.66,2023,12,9,Saturday
C541119,ST19602,WHITE HANGING HEART T-LIGHT HOLDER,10,2023-06-11,54.79,10469,United Kingdom,547.9,547.9,2023,6,11,Sunday
C569518,ST42018,BOX OF VINTAGE ALPHABET BLOCKS,6,2023-04-20,48.55,10551,United Kingdom,291.29999999999995,291.29999999999995,2023,4,20,Thursday
C546703,ST95717,LUNCH BAG RED RETROSPOT,58,2023-05-26,33.97,10379,Netherlands,1970.26,1970.26,2023,5,26,Friday
C580134,ST27601,VINTAGE PAISLEY STATIONERY SET,11,2023-01-05,6.46,10542,United Kingdom,71.06,71.06,2023,1,5,Thursday
C543379,ST54942,VINTAGE PAISLEY STATIONERY SET,5,2023-03-01,33.6,10271,United Kingdom,168.0,168.0,2023,3,1,Wednesday
C577930,ST16658,BOX OF VINTAGE ALPHABET BLOCKS,5,2023-12-18,49.87,10209,United Kingdom,249.35,249.35,2023,12,18,Monday
C564124,ST93507,HOME BUILDING BLOCK WORD,6,2023-11-21,42.61,10095,United Kingdom,255.66,255.66,2023,11,21,Tuesday
C565321,ST19862,VINTAGE PAISLEY STATIONERY SET,9,2023-03-24,1.37,10269,United Kingdom,12.330000000000002,12.330000000000002,2023,3,24,Friday
C546133,ST29410,GLASS HANGING T-LIGHT HOLDER,6,2023-12-20,32.39,10968,United Kingdom,194.34,194.34,2023,12,20,Wednesday
C539106,ST37535,RECIPE BOX WITH METAL HEART,1,2023-03-07,49.53,10441,Portugal,49.53,49.53,2023,3,7,Tuesday
C580073,ST63264,GLASS STAR FROSTED T-LIGHT HOLDER,9,2023-05-08,48.73,10699,Germany,438.57,438.57,2023,5,8,Monday
C546493,ST13248,BOX OF VINTAGE JIGSAW BLOCKS,42,2023-11-14,48.58,10998,Belgium,2040.36,2040.36,2023,11,14,Tuesday
C563347,ST15075,BOX OF VINTAGE JIGSAW BLOCKS,12,2023-06-20,6.7,10184,Spain,80.4,80.4,2023,6,20,Tuesday
C550942,ST39831,FELTCRAFT PRINCESS CHARLOTTE DOLL,78,2023-08-29,19.78,10880,United Kingdom,1542.84,1542.8400000000001,2023,8,29,Tuesday
C579620,ST46585,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,2023-01-13,47.65,10229,Belgium,238.25,238.25,2023,1,13,Friday
C569749,ST13617,SMALL POPCORN HOLDER,9,2023-11-25,18.78,10360,United Kingdom,169.02,169.02,2023,11,25,Saturday
C548067,ST88193,AIRLINE BAG VINTAGE WORLD CHAMPION,53,2023-05-14,2.92,10119,United Kingdom,154.76,154.76,2023,5,14,Sunday
C556922,ST85574,PARTY BUNTING,9,2023-06-26,7.11,10445,United Kingdom,63.99,63.99,2023,6,26,Monday
C539273,ST97900,PARTY BUNTING,9,2023-05-11,38.04,10195,United Kingdom,342.36,342.36,2023,5,11,Thursday
C564630,ST96951,RED WOOLLY HOTTIE WHITE HEART,62,2023-07-06,34.59,10202,United Kingdom,2144.5800000000004,2144.5800000000004,2023,7,6,Thursday
C556046,ST48752,SET OF 4 PANTRY JELLY MOULDS,7,2023-03-05,18.51,10869,United Kingdom,129.57000000000002,129.57000000000002,2023,3,5,Sunday
C548937,ST32810,LARGE POPCORN HOLDER,7,2023-03-07,37.53,10568,France,262.71000000000004,262.71000000000004,2023,3,7,Tuesday
C556088,ST37549,SMALL POPCORN HOLDER,1,2023-10-19,17.3,10631,United Kingdom,17.3,17.3,2023,10,19,Thursday
C576123,ST77000,CHOCOLATE HOT WATER BOTTLE,8,2023-10-24,37.44,10441,United Kingdom,299.52,299.52,2023,10,24,Tuesday
C579543,ST53933,SET 7 BABUSHKA NESTING BOXES,11,2023-03-28,35.12,10485,United Kingdom,386.32,386.32,2023,3,28,Tuesday
C580457,ST16057,RECIPE BOX WITH METAL HEART,4,2023-05-01,8.83,10096,United Kingdom,35.32,35.32,2023,5,1,Monday
C576425,ST60328,RED WOOLLY HOTTIE WHITE HEART,11,2023-09-01,32.02,10251,France,352.22,352.22,2023,9,1,Friday
C552354,ST23970,ASSORTED COLOUR BIRD ORNAMENT,1,2023-07-24,49.19,10507,United Kingdom,49.19,49.19,2023,7,24,Monday
C550706,ST83060,POPPY'S PLAYHOUSE BEDROOM,86,2023-08-06,26.01,10798,Norway,2236.86,2236.86,2023,8,6,Sunday
C566279,ST88047,HAND WARMER RED POLKA DOT,87,2023-03-04,54.34,10256,Germany,4727.58,4727.58,2023,3,4,Saturday
C576515,ST30861,SET OF 4 PANTRY JELLY MOULDS,9,2023-08-15,25.0,10325,United Kingdom,225.0,225.0,2023,8,15,Tuesday
C565860,ST78327,BOX OF VINTAGE ALPHABET BLOCKS,11,2023-09-01,15.87,10762,United Kingdom,174.57,174.57,2023,9,1,Friday
C552044,ST45614,HOME BUILDING BLOCK WORD,12,2023-11-17,16.32,10497,France,195.84,195.84,2023,11,17,Friday
C571764,ST30028,SET 7 BABUSHKA NESTING BOXES,4,2023-06-13,21.59,10344,Germany,86.36,86.36,2023,6,13,Tuesday
C540574,ST18161,LARGE POPCORN HOLDER,9,2023-04-20,26.08,10724,Germany,234.72,234.71999999999997,2023,4,20,Thursday
C561889,ST85456,AIRLINE BAG VINTAGE WORLD CHAMPION,22,2023-08-04,47.24,10212,Germany,1039.28,1039.28,2023,8,4,Friday
C536751,ST64921,BLUE CHERRY LIGHTS,7,2023-09-02,47.06,10390,United Kingdom,329.42,329.42,2023,9,2,Saturday
C575899,ST13804,BOX OF 6 ASSORTED COLOUR TEASPOONS,5,2023-10-07,24.45,10552,United Kingdom,122.25,122.25,2023,10,7,Saturday
C580200,ST91560,SMALL POPCORN HOLDER,8,2023-06-22,50.64,10399,United Kingdom,405.12,405.12,2023,6,22,Thursday
C562187,ST66179,AIRLINE BAG VINTAGE WORLD CHAMPION,1,2023-01-14,5.4,10547,EIRE,5.4,5.4,2023,1,14,Saturday
C548274,ST52840,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-08-25,12.31,10139,United Kingdom,73.86,73.86,2023,8,25,Friday
C554600,ST80702,LARGE POPCORN HOLDER,2,2023-07-14,26.32,10346,United Kingdom,52.64,52.64,2023,7,14,Friday
C551059,ST14067,RED WOOLLY HOTTIE WHITE HEART,11,2023-06-29,3.03,10054,United Kingdom,33.33,33.33,2023,6,29,Thursday
C549430,ST97747,WHITE METAL LANTERN,4,2023-05-07,7.68,10973,United Kingdom,30.72,30.72,2023,5,7,Sunday
C550649,ST89593,LUNCH BAG PINK POLKADOT,6,2023-10-16,9.94,10118,United Kingdom,59.64,59.64,2023,10,16,Monday
C547097,ST85470,RECIPE BOX WITH METAL HEART,1,2023-02-28,51.15,10987,Germany,51.15,51.15,2023,2,28,Tuesday
C562360,ST41830,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2023-07-12,45.83,10694,United Kingdom,549.96,549.96,2023,7,12,Wednesday
C556129,ST55508,AIRLINE BAG VINTAGE JET SET,92,2023-12-23,43.23,10105,Spain,3977.16,3977.16,2023,12,23,Saturday
C579718,ST65057,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,11,2023-08-08,19.33,10546,United Kingdom,212.63,212.63,2023,8,8,Tuesday
C543281,ST67080,PARTY BUNTING,78,2023-09-08,39.15,10843,United Kingdom,3053.7,3053.7,2023,9,8,Friday
C578993,ST70931,HOME BUILDING BLOCK WORD,9,2023-09-25,42.8,10181,Germany,385.2,385.2,2023,9,25,Monday
C553954,ST69087,CHOCOLATE HOT WATER BOTTLE,31,2023-10-31,15.95,10447,Germany,494.45,494.45,2023,10,31,Tuesday
C573710,ST52600,SAVE THE WHALE COTTON BAG,6,2023-08-26,2.4,10250,United Kingdom,14.4,14.399999999999999,2023,8,26,Saturday
C550266,ST88139,BLUE CHERRY LIGHTS,6,2023-09-07,15.99,10187,Germany,95.94,95.94,2023,9,7,Thursday
C572789,ST63271,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-05-22,5.49,10719,United Kingdom,21.96,21.96,2023,5,22,Monday
C552114,ST12260,LUNCH BAG SUKI DESIGN,8,2023-10-12,25.12,10501,United Kingdom,200.96,200.96,2023,10,12,Thursday
C550887,ST58368,SMALL POPCORN HOLDER,5,2023-05-31,36.8,10096,United Kingdom,184.0,184.0,2023,5,31,Wednesday
C571159,ST56112,BLUE CHERRY LIGHTS,12,2023-10-11,30.65,10485,United Kingdom,367.8,367.79999999999995,2023,10,11,Wednesday
C554119,ST51359,RECIPE BOX WITH METAL HEART,2,2023-08-21,39.91,10720,United Kingdom,79.82,79.82,2023,8,21,Monday
C548498,ST87278,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2023-10-02,15.82,10123,United Kingdom,126.56,126.56,2023,10,2,Monday
C575476,ST57301,LOVE BUILDING BLOCK WORD,44,2023-09-26,16.89,10779,United Kingdom,743.1600000000001,743.1600000000001,2023,9,26,Tuesday
C537292,ST82529,GLASS HANGING T-LIGHT HOLDER,1,2023-06-04,53.61,10184,United Kingdom,53.61,53.61,2023,6,4,Sunday
C544640,ST11607,PACK OF 72 RETROSPOT CAKE CASES,82,2023-12-24,6.41,10300,United Kingdom,525.62,525.62,2023,12,24,Sunday
C567127,ST43092,LUNCH BAG SUKI DESIGN,3,2023-05-26,53.13,10588,Netherlands,159.39,159.39000000000001,2023,5,26,Friday
C543841,ST99974,RED WOOLLY HOTTIE WHITE HEART,2,2023-09-02,32.1,10964,United Kingdom,64.2,64.2,2023,9,2,Saturday
C546142,ST25525,SKULL SHOULDER BAG,30,2023-03-19,54.67,10055,United Kingdom,1640.1,1640.1000000000001,2023,3,19,Sunday
C576100,ST59856,AIRLINE BAG VINTAGE JET SET,4,2023-08-02,42.85,10572,Germany,171.4,171.4,2023,8,2,Wednesday
C555852,ST17894,AIRLINE BAG VINTAGE WORLD CHAMPION,59,2023-08-15,31.64,10462,United Kingdom,1866.76,1866.76,2023,8,15,Tuesday
C549982,ST41439,PACK OF 72 RETROSPOT CAKE CASES,11,2023-02-20,5.25,10625,United Kingdom,57.75,57.75,2023,2,20,Monday
C541284,ST71592,POPPY'S PLAYHOUSE KITCHEN,8,2023-10-10,38.18,10178,United Kingdom,305.44,305.44,2023,10,10,Tuesday
C551535,ST19329,LOVE BUILDING BLOCK WORD,12,2023-01-17,47.4,10299,United Kingdom,568.8,568.8,2023,1,17,Tuesday
C553702,ST81376,PACK OF 72 RETROSPOT CAKE CASES,4,2023-04-30,23.87,10704,Belgium,95.48,95.48,2023,4,30,Sunday
C546129,ST50319,HOME BUILDING BLOCK WORD,29,2023-11-28,4.08,10231,France,118.32,118.32000000000001,2023,11,28,Tuesday
C555279,ST62757,LUNCH BAG RED RETROSPOT,12,2023-10-19,17.32,10610,United Kingdom,207.84,207.84,2023,10,19,Thursday
C569163,ST66626,GLASS HANGING T-LIGHT HOLDER,2,2023-05-20,33.23,10966,Spain,66.46,66.46,2023,5,20,Saturday
C575929,ST85392,BOX OF VINTAGE ALPHABET BLOCKS,4,2023-06-15,52.94,10753,France,211.76,211.76,2023,6,15,Thursday
C580423,ST95394,HOME BUILDING BLOCK WORD,3,2023-01-11,26.33,10602,United Kingdom,78.99,78.99,2023,1,11,Wednesday
C548259,ST71605,AIRLINE BAG VINTAGE WORLD CHAMPION,8,2023-05-23,53.32,10453,Spain,426.56,426.56,2023,5,23,Tuesday
C558208,ST74942,CHOCOLATE HOT WATER BOTTLE,3,2023-07-29,18.71,10357,United Kingdom,56.13,56.13,2023,7,29,Saturday
C562609,ST52372,VINTAGE PAISLEY STATIONERY SET,2,2023-12-06,17.88,10296,France,35.76,35.76,2023,12,6,Wednesday
C570089,ST17104,WHITE HANGING HEART T-LIGHT HOLDER,9,2023-07-26,25.87,10119,Spain,232.83,232.83,2023,7,26,Wednesday
C560074,ST16764,SAVE THE WHALE COTTON BAG,11,2023-09-23,24.79,10193,United Kingdom,272.69,272.69,2023,9,23,Saturday
C572358,ST73532,HAND WARMER RED POLKA DOT,76,2023-05-17,48.55,10209,United Kingdom,3689.8,3689.7999999999997,2023,5,17,Wednesday
C577654,ST82199,AIRLINE BAG VINTAGE JET SET,12,2023-01-15,9.43,10125,United Kingdom,113.16,113.16,2023,1,15,Sunday
C563103,ST25396,SET 7 BABUSHKA NESTING BOXES,2,2023-10-10,25.84,10015,United Kingdom,51.68,51.68,2023,10,10,Tuesday
C569026,ST73242,LOVE BUILDING BLOCK WORD,5,2023-03-20,23.35,10664,France,116.75,116.75,2023,3,20,Monday
C566300,ST76616,VINTAGE PAISLEY STATIONERY SET,4,2023-05-05,50.77,10484,EIRE,203.08,203.08,2023,5,5,Friday
C540940,ST76550,HOME BUILDING BLOCK WORD,7,2023-03-11,19.25,10765,United Kingdom,134.75,134.75,2023,3,11,Saturday
C554901,ST74178,RECIPE BOX WITH METAL HEART,94,2023-01-02,54.94,10274,United Kingdom,5164.36,5164.36,2023,1,2,Monday
C565629,ST81228,GLASS HANGING T-LIGHT HOLDER,6,2023-03-18,30.74,10887,United Kingdom,184.44,184.44,2023,3,18,Saturday
C557453,ST40613,FELTCRAFT PRINCESS CHARLOTTE DOLL,50,2023-08-22,31.81,10387,United Kingdom,1590.5,1590.5,2023,8,22,Tuesday
C539225,ST59968,CHOCOLATE HOT WATER BOTTLE,12,2023-07-30,50.31,10877,United Kingdom,603.72,603.72,2023,7,30,Sunday
C579095,ST87356,ASSORTED COLOUR BIRD ORNAMENT,1,2023-12-06,7.69,10396,United Kingdom,7.69,7.69,2023,12,6,Wednesday
C565220,ST28894,GLASS STAR FROSTED T-LIGHT HOLDER,8,2023-02-21,1.68,10340,Switzerland,13.44,13.44,2023,2,21,Tuesday
C546481,ST62098,RED WOOLLY HOTTIE WHITE HEART,5,2023-12-02,19.18,10420,United Kingdom,95.9,95.9,2023,12,2,Saturday
C557897,ST73956,GLASS HANGING T-LIGHT HOLDER,6,2023-02-11,34.79,10666,United Kingdom,208.74,208.74,2023,2,11,Saturday
C538717,ST47667,SAVE THE WHALE COTTON BAG,11,2023-10-05,37.91,10894,Germany,417.01,417.01,2023,10,5,Thursday
C564805,ST68153,GLASS STAR FROSTED T-LIGHT HOLDER,12,2023-02-16,48.1,10233,United Kingdom,577.2,577.2,2023,2,16,Thursday
C555990,ST59131,WHITE METAL LANTERN,1,2023-12-22,16.74,10171,Italy,16.74,16.74,2023,12,22,Friday
C552368,ST32280,MASON JAR CANDLE HOLDER,11,2023-03-16,43.76,10442,Portugal,481.36,481.35999999999996,2023,3,16,Thursday
C576308,ST86435,WHITE BUTTERFLY T-LIGHT HOLDER,4,2023-02-10,27.8,10180,United Kingdom,111.2,111.2,2023,2,10,Friday
C566586,ST70981,PACK OF 72 RETROSPOT CAKE CASES,5,2023-04-29,36.96,10147,United Kingdom,184.8,184.8,2023,4,29,Saturday
C580772,ST87014,GLASS HANGING T-LIGHT HOLDER,8,2023-05-28,52.03,10923,United Kingdom,416.24,416.24,2023,5,28,Sunday
C564172,ST60422,BOX OF VINTAGE ALPHABET BLOCKS,5,2023-11-24,11.64,10307,United Kingdom,58.2,58.2,2023,11,24,Friday
C543354,ST48696,BOX OF VINTAGE JIGSAW BLOCKS,6,2023-09-05,31.98,10874,United Kingdom,191.88,191.88,2023,9,5,Tuesday
C562304,ST16428,HOME BUILDING BLOCK WORD,11,2023-12-04,43.0,10023,United Kingdom,473.0,473.0,2023,12,4,Monday
C568918,ST56179,LOVE BUILDING BLOCK WORD,4,2023-11-07,33.72,10933,United Kingdom,134.88,134.88,2023,11,7,Tuesday
C548825,ST99241,SAVE THE WHALE COTTON BAG,12,2023-11-22,42.41,10225,United Kingdom,508.92,508.91999999999996,2023,11,22,Wednesday
C577537,ST67779,GLASS STAR FROSTED T-LIGHT HOLDER,25,2023-03-12,17.58,10859,United Kingdom,439.5,439.49999999999994,2023,3,12,Sunday
C560276,ST64460,HAND WARMER RED POLKA DOT,5,2023-10-24,18.54,10035,Netherlands,92.7,92.69999999999999,2023,10,24,Tuesday
C545026,ST45720,GLASS HANGING T-LIGHT HOLDER,66,2023-04-13,29.6,10180,United Kingdom,1953.6,1953.6000000000001,2023,4,13,Thursday
C553205,ST54396,LUNCH BAG SUKI DESIGN,57,2023-03-26,41.28,10851,United Kingdom,2352.96,2352.96,2023,3,26,Sunday
C567057,ST98395,RED WOOLLY HOTTIE WHITE HEART,4,2023-02-28,47.43,10824,United Kingdom,189.72,189.72,2023,2,28,Tuesday
C560336,ST26199,SET 7 BABUSHKA NESTING BOXES,1,2023-10-13,15.17,10407,Norway,15.17,15.17,2023,10,13,Friday
C580459,ST24201,BOX OF VINTAGE ALPHABET BLOCKS,11,2023-07-08,51.77,10466,United Kingdom,569.47,569.47,2023,7,8,Saturday
C567263,ST89964,WHITE METAL LANTERN,9,2023-04-30,18.61,10692,United Kingdom,167.49,167.49,2023,4,30,Sunday
C540507,ST25292,PACK OF 72 RETROSPOT CAKE CASES,58,2023-11-28,36.01,10227,Germany,2088.58,2088.58,2023,11,28,Tuesday
C538803,ST80457,RECIPE BOX WITH METAL HEART,34,2023-01-24,6.11,10144,United Kingdom,207.74,207.74,2023,1,24,Tuesday
C566094,ST80804,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,12,2023-07-18,38.56,10139,Germany,462.72,462.72,2023,7,18,Tuesday
C546491,ST46666,LARGE POPCORN HOLDER,8,2023-10-28,34.19,10430,United Kingdom,273.52,273.52,2023,10,28,Saturday
C560648,ST23022,IVORY KNITTED MUG COZY,4,2023-12-20,47.17,10034,United Kingdom,188.68,188.68,2023,12,20,Wednesday
C572047,ST26011,BLUE CHERRY LIGHTS,5,2023-07-08,11.13,10703,United Kingdom,55.650000000000006,55.650000000000006,2023,7,8,Saturday
C542372,ST16629,IVORY KNITTED MUG COZY,10,2023-08-21,53.43,10972,United Kingdom,534.3,534.3,2023,8,21,Monday
C552327,ST82641,HAND WARMER RED POLKA DOT,4,2023-06-20,4.57,10806,United Kingdom,18.28,18.28,2023,6,20,Tuesday
C550517,ST88116,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-10-28,43.56,10213,EIRE,130.68,130.68,2023,10,28,Saturday
C545847,ST13379,HAND WARMER RED POLKA DOT,3,2023-05-22,6.8,10003,United Kingdom,20.4,20.4,2023,5,22,Monday
C559842,ST16868,BOX OF VINTAGE JIGSAW BLOCKS,1,2023-01-08,10.29,10135,United Kingdom,10.29,10.29,2023,1,8,Sunday
C570842,ST57453,HAND WARMER UNION JACK,8,2023-08-04,25.12,10130,United Kingdom,200.96,200.96,2023,8,4,Friday
C543511,ST96363,LUNCH BAG RED RETROSPOT,10,2023-10-31,3.2,10526,United Kingdom,32.0,32.0,2023,10,31,Tuesday
C566383,ST65872,WHITE METAL LANTERN,8,2023-06-04,46.73,10534,United Kingdom,373.84,373.84,2023,6,4,Sunday
C568495,ST29442,LUNCH BAG RED RETROSPOT,2,2023-02-25,18.29,10703,United Kingdom,36.58,36.58,2023,2,25,Saturday
C554388,ST59925,SAVE THE WHALE COTTON BAG,9,2023-03-06,39.41,10068,United Kingdom,354.68999999999994,354.68999999999994,2023,3,6,Monday
C555691,ST24996,LUNCH BAG PINK POLKADOT,7,2023-09-29,6.22,10612,United Kingdom,43.54,43.54,2023,9,29,Friday
C579023,ST39949,VINTAGE PAISLEY STATIONERY SET,4,2023-12-02,24.14,10874,United Kingdom,96.56,96.56,2023,12,2,Saturday
C566085,ST50963,SMALL POPCORN HOLDER,2,2023-06-23,17.77,10424,United Kingdom,35.54,35.54,2023,6,23,Friday
C560895,ST21188,ASSORTED COLOUR BIRD ORNAMENT,8,2023-05-11,4.49,10682,United Kingdom,35.92,35.92,2023,5,11,Thursday
C542693,ST83608,LIGHT PINK BUTTERFLY T-LIGHT HOLDER,91,2023-08-10,4.1,10096,United Kingdom,373.1,373.09999999999997,2023,8,10,Thursday
C580274,ST65435,HAND WARMER UNION JACK,11,2023-06-18,51.81,10576,Belgium,569.9100000000001,569.9100000000001,2023,6,18,Sunday
C555215,ST37884,AIRLINE BAG VINTAGE JET SET,2,2023-01-27,32.14,10889,United Kingdom,64.28,64.28,2023,1,27,Friday
C567965,ST58176,BOX OF 6 ASSORTED COLOUR TEASPOONS,64,2023-12-03,46.63,10159,United Kingdom,2984.32,2984.32,2023,12,3,Sunday
C573989,ST91490,BOX OF 6 ASSORTED COLOUR TEASPOONS,91,2023-05-23,53.62,10118,United Kingdom,4879.42,4879.42,2023,5,23,Tuesday
C578484,ST45054,VINTAGE PAISLEY STATIONERY SET,11,2023-12-12,45.77,10629,Belgium,503.47,503.47,2023,12,12,Tuesday
C554274,ST28776,RECIPE BOX WITH METAL HEART,64,2023-04-03,1.18,10030,Spain,75.52,75.52,2023,4,3,Monday
C562630,ST22026,RED WOOLLY HOTTIE WHITE HEART,11,2023-12-03,53.47,10580,United Kingdom,588.17,588.17,2023,12,3,Sunday
C550463,ST50846,WHITE BUTTERFLY T-LIGHT HOLDER,6,2023-09-29,9.37,10765,United Kingdom,56.22,56.22,2023,9,29,Friday
C573562,ST90981,AIRLINE BAG VINTAGE JET SET,1,2023-06-16,9.27,10739,France,9.27,9.27,2023,6,16,Friday
C541711,ST67939,HOME BUILDING BLOCK WORD,7,2023-12-12,27.15,10051,United Kingdom,190.05,190.04999999999998,2023,12,12,Tuesday
C550492,ST98895,SET OF 4 PANTRY JELLY MOULDS,7,2023-05-20,6.85,10425,United Kingdom,47.95,47.949999999999996,2023,5,20,Saturday
C568256,ST88554,MASON JAR CANDLE HOLDER,1,2023-10-31,12.79,10695,United Kingdom,12.79,12.79,2023,10,31,Tuesday
